Configuration,Optimal (0%),Error ≤10%,Error ≤20%,Error ≤30%,Error ≤40%,Error ≤50%
"dest din, step0 1",28.20%,29.00%,39.00%,39.60%,45.20%,48.20%
"dest din, step0 2",25.40%,25.60%,32.00%,33.40%,34.60%,39.40%
