Configuration,Optimal (0%),Error ≤10%,Error ≤20%,Error ≤30%,Error ≤40%,Error ≤50%
E cur+imit 450k n_step6 1,53.80%,67.60%,78.80%,82.40%,89.20%,89.20%
E cur+imit 450k n_step6 2,61.80%,67.60%,84.60%,93.40%,95.60%,96.80%
