Configuration,Optimal (0%),Error ≤10%,Error ≤20%,Error ≤30%,Error ≤40%,Error ≤50%
E cur n_step 7 1,53.00%,80.20%,89.80%,91.20%,92.00%,93.60%
E cur n_step 7 2,45.00%,73.60%,82.80%,84.80%,85.60%,86.60%
