Configuration,Optimal (0%),Error ≤10%,Error ≤20%,Error ≤30%,Error ≤40%,Error ≤50%
"dest 1, step dijk30 1",11.80%,11.80%,37.80%,49.40%,50.40%,55.20%
"dest 1, step dijk30 2",29.40%,42.40%,54.00%,56.00%,57.00%,67.60%
