iteration,pct_concluded,pct_optimal,mean_diff_iter
1,40.0,0.0,180.8184889919128
2,28.57142857142857,0.0,325.94679427651073
3,0.0,0.0,0.0
4,30.0,0.0,294.6138050413643
5,12.5,0.0,195.773245330342
6,25.0,0.0,196.04224896406615
7,40.0,0.0,284.38713322377487
8,22.22222222222222,0.0,122.87002101414245
9,25.0,0.0,157.3494325766705
10,20.0,0.0,58.82609539792695
11,25.0,0.0,152.60019075170766
12,33.33333333333333,0.0,648.5617151942741
13,16.666666666666664,0.0,227.33325275700506
14,14.285714285714285,0.0,343.60666341424445
15,16.666666666666664,0.0,237.17812751925567
16,22.22222222222222,0.0,91.12989427683961
17,11.11111111111111,0.0,94.10501817938517
18,37.5,12.5,235.36505101720618
19,44.44444444444444,0.0,245.92139106155986
20,42.857142857142854,0.0,203.97168776103703
21,33.33333333333333,0.0,197.06022443685916
22,10.0,0.0,110.60532422074361
23,37.5,0.0,104.77040366644364
24,28.57142857142857,0.0,446.93148738340767
25,33.33333333333333,11.11111111111111,10.957794247655483
26,28.57142857142857,0.0,182.88498282737328
27,28.57142857142857,0.0,315.61803075493685
28,28.57142857142857,0.0,149.94706179488708
29,12.5,0.0,94.00541434332096
30,37.5,0.0,117.57993172445337
