Configuration,Optimal (0%),Error ≤10%,Error ≤20%,Error ≤30%,Error ≤40%,Error ≤50%
"dest din, step1 1",19.80%,36.20%,48.40%,49.60%,52.00%,52.40%
"dest din, step1 2",22.20%,40.60%,55.60%,61.00%,61.00%,62.00%
