Configuration,Optimal (0%),Error ≤10%,Error ≤20%,Error ≤30%,Error ≤40%,Error ≤50%
"E cur+imit 3900, 7k it 1",66.60%,83.00%,92.20%,94.60%,95.00%,95.80%
"E cur+imit 3900, 7k it 2",56.80%,77.00%,97.60%,98.00%,98.00%,98.00%
