iteration,pct_concluded,pct_optimal,mean_diff_iter
1,40.0,0.0,295.421444762292
2,10.0,0.0,89.60757648717346
3,0.0,0.0,0.0
4,30.0,10.0,57.4693244075735
5,50.0,20.0,58.410367234830474
6,10.0,10.0,0.0
7,10.0,0.0,938.3815741529686
8,30.0,30.0,0.0
9,20.0,0.0,96.77955924894434
10,30.0,30.0,0.0
11,0.0,0.0,0.0
12,20.0,20.0,0.0
13,0.0,0.0,0.0
14,40.0,20.0,25.11942131626416
15,60.0,30.0,15.897996120793364
16,50.0,20.0,239.28647907635218
17,0.0,0.0,0.0
18,90.0,30.0,183.6401163240713
19,90.0,30.0,106.24281149847337
20,40.0,30.0,0.8779772524252216
21,80.0,30.0,86.44455157287926
22,50.0,30.0,93.88003002470741
23,40.0,10.0,183.99715272577745
24,70.0,20.0,177.64360550383802
25,90.0,30.0,83.00456621937555
26,60.0,30.0,28.803962325128367
27,40.0,10.0,41.88017274856036
28,70.0,40.0,28.79708253109541
29,70.0,30.0,66.04489714481983
30,80.0,10.0,101.03384705543726
31,80.0,20.0,88.78915013344638
32,100.0,0.0,210.28083809512685
33,80.0,0.0,161.0563827507538
34,60.0,30.0,49.227174984927245
35,90.0,30.0,165.17628802421905
36,100.0,20.0,92.96261154311235
37,80.0,10.0,95.08372970379618
38,80.0,10.0,91.90059031201241
39,80.0,0.0,88.78321073691141
40,100.0,0.0,231.9806537764568
41,90.0,30.0,128.22827786125785
42,90.0,10.0,83.94502693409687
43,70.0,0.0,95.29689404391354
44,100.0,10.0,131.41445124340618
45,100.0,10.0,116.24599846202639
46,70.0,10.0,107.74498505356095
47,100.0,30.0,54.24819188454394
48,80.0,10.0,98.1640492426198
49,100.0,0.0,170.94420822585607
50,100.0,20.0,113.34012300819172
51,60.0,0.0,138.42893025745997
52,90.0,10.0,209.31994278316702
53,60.0,20.0,103.60184670432699
54,60.0,20.0,99.26481812376578
55,70.0,20.0,105.83755578144671
56,80.0,20.0,128.81193734187005
57,90.0,20.0,147.67918239869692
58,70.0,20.0,97.66485190526564
59,90.0,10.0,110.10048216826397
60,90.0,20.0,167.44876793566982
61,70.0,20.0,114.30716975944135
62,90.0,20.0,197.5811696459345
63,70.0,20.0,44.3277184273225
64,100.0,10.0,86.34232265420042
65,90.0,20.0,111.29198586298776
66,80.0,10.0,167.84723764067564
67,70.0,10.0,147.81733878043266
68,70.0,10.0,128.2338990574577
69,100.0,0.0,267.10755021175567
70,90.0,10.0,261.6992332965358
