iteration,pct_concluded,pct_optimal,mean_diff_iter
1,40.0,0.0,319.84022899210805
2,50.0,0.0,164.31558666426304
3,20.0,10.0,38.94798588702775
4,20.0,10.0,14.210513174197503
5,20.0,0.0,57.215354004315806
6,60.0,40.0,25.872088946502014
7,50.0,40.0,3.25980596628427
8,10.0,10.0,0.0
9,50.0,0.0,85.44254878915038
10,70.0,0.0,114.59168134020081
11,50.0,40.0,2.9339487532916886
12,60.0,0.0,120.94640506269728
13,50.0,10.0,117.77445057383439
14,40.0,0.0,180.50645750996824
15,60.0,30.0,29.98699871948263
16,70.0,10.0,114.59603769638765
17,30.0,10.0,5.949098521817042
18,30.0,10.0,5.949098521817042
19,80.0,10.0,98.32433488598906
20,50.0,0.0,97.89847295047166
21,10.0,0.0,20.8187034627225
22,80.0,0.0,182.93192506217343
23,20.0,0.0,6.416703118357702
24,80.0,0.0,151.3790375474699
25,60.0,10.0,128.21393154396483
26,80.0,10.0,66.06776537339009
27,50.0,0.0,104.62566006289455
28,60.0,0.0,63.83405923732453
29,60.0,0.0,111.74256095437129
30,90.0,10.0,149.61910886824026
31,60.0,0.0,102.51964725522369
32,60.0,10.0,158.0406094475424
33,60.0,10.0,75.12980488477739
34,40.0,0.0,55.950250738023485
35,70.0,10.0,60.85537717033937
36,80.0,0.0,69.54765058427832
37,70.0,0.0,164.86026506417778
38,100.0,0.0,122.91163952599682
39,80.0,0.0,122.9225645590199
40,60.0,0.0,71.73312123053418
41,50.0,0.0,51.46750740901756
42,50.0,0.0,76.33945402629564
43,40.0,0.0,76.90385440853197
44,70.0,0.0,213.4603834174878
45,70.0,0.0,217.74424059525435
46,70.0,0.0,122.0002435868132
47,80.0,0.0,289.01065111140355
48,100.0,0.0,353.88556412899544
49,100.0,0.0,180.53762113834003
50,100.0,0.0,180.12574818319356
51,80.0,0.0,136.748752409079
52,60.0,0.0,110.30812786525051
53,80.0,0.0,97.55530958137815
54,90.0,0.0,127.28871391056026
55,50.0,0.0,38.84766983300218
56,70.0,0.0,68.24947435887061
57,90.0,0.0,138.31491166020504
58,90.0,0.0,177.73426641903202
59,80.0,0.0,182.7967464336246
60,90.0,0.0,216.24241485554975
61,90.0,10.0,119.44578070040214
62,40.0,10.0,22.61921962781688
63,90.0,10.0,102.5517933984283
64,70.0,10.0,54.891779574939214
65,90.0,10.0,123.77304265281153
66,60.0,10.0,63.035024089280064
67,50.0,0.0,93.5452080738904
68,30.0,0.0,36.15942871562473
69,40.0,0.0,138.29403586936652
70,50.0,0.0,262.69399136911204
71,50.0,0.0,105.41929642530934
72,100.0,0.0,162.8789967978353
73,100.0,0.0,132.38658715699472
74,100.0,0.0,132.38658715699472
75,70.0,0.0,129.69974736017792
76,90.0,0.0,133.2542222547241
77,50.0,0.0,58.96161389848849
78,80.0,0.0,89.5408023596498
79,90.0,0.0,112.85251176100795
80,70.0,0.0,101.15001730782043
81,60.0,0.0,100.90989419753949
82,70.0,0.0,127.62720049111522
83,70.0,0.0,97.38807796127303
84,70.0,10.0,111.4590320459112
85,70.0,10.0,100.0750188702813
86,90.0,10.0,142.98381435790137
87,60.0,10.0,217.9169274382995
88,60.0,0.0,126.24000301927443
89,90.0,10.0,110.9546689829671
90,80.0,10.0,97.41061760758635
