iteration,pct_concluded,pct_optimal,mean_diff_iter
1,30.0,0.0,339.37293649646693
2,40.0,10.0,138.1385825369947
3,50.0,30.0,14.579412360494336
4,50.0,0.0,130.48834534794287
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,10.0,0.0,225.81062858304924
8,20.0,10.0,16.512571781843643
9,0.0,0.0,0.0
10,50.0,10.0,98.85098946044249
11,20.0,0.0,131.37136953294112
12,40.0,0.0,179.17145679305207
13,50.0,10.0,87.88842958329845
14,50.0,0.0,171.33696134471072
15,40.0,10.0,308.0925656019794
16,20.0,0.0,182.5568021104648
17,40.0,20.0,103.91058887251816
18,50.0,10.0,97.29729755741853
19,40.0,0.0,203.88238755526353
20,50.0,10.0,136.4199938287606
21,50.0,0.0,140.80245473004192
22,90.0,20.0,149.16547215609634
23,50.0,0.0,163.979192131865
24,60.0,0.0,326.0479091162518
25,60.0,30.0,40.11723913343811
26,80.0,0.0,173.87538578132018
27,70.0,20.0,198.46305580960532
28,70.0,0.0,191.5280094668288
29,60.0,20.0,66.06107932446643
30,90.0,0.0,301.36710593299466
31,100.0,0.0,331.9335436410332
32,90.0,0.0,109.4199024574584
33,80.0,0.0,98.28622616665726
34,80.0,10.0,194.59060929352728
35,100.0,0.0,197.03867579845178
36,90.0,0.0,126.47083300289624
37,100.0,0.0,286.2663581561614
38,90.0,0.0,137.1549799671498
39,100.0,0.0,163.2980216876674
40,100.0,20.0,165.48032523246056
41,100.0,0.0,190.76995851191833
42,80.0,0.0,213.39226559868564
43,100.0,0.0,155.9624240012974
44,80.0,0.0,201.2190211336794
45,80.0,0.0,130.9084929046823
46,80.0,0.0,245.16617087722852
47,100.0,0.0,137.83684341785778
48,70.0,0.0,165.19198811108717
49,100.0,0.0,219.48630839048437
50,70.0,0.0,158.5398405417412
51,60.0,0.0,152.54994299784587
52,60.0,10.0,57.596541903629124
53,70.0,0.0,324.0253090841417
54,40.0,0.0,42.34611298195942
55,40.0,10.0,107.29872213313017
56,60.0,0.0,379.7084419921923
57,80.0,10.0,179.0378516280681
58,30.0,10.0,20.9263386178916
59,50.0,10.0,97.78189435681286
60,100.0,10.0,102.82367448001393
61,70.0,0.0,143.68998483118634
62,70.0,0.0,105.1035259639096
63,60.0,0.0,108.63427908118656
64,100.0,20.0,119.80584407520846
65,70.0,20.0,33.710686368188824
66,90.0,0.0,220.88895198433133
67,60.0,0.0,124.88849175407093
68,60.0,20.0,174.52721002786856
69,80.0,0.0,233.55625925396185
70,100.0,0.0,158.15564239177004
71,80.0,20.0,89.01932220727801
72,90.0,20.0,125.98677585892867
73,90.0,40.0,22.314898946148737
74,90.0,10.0,103.44497662508165
75,80.0,10.0,96.21975604974155
76,80.0,20.0,243.8913287871774
77,80.0,40.0,30.77899264119012
78,80.0,10.0,133.9976410061758
79,80.0,10.0,95.99483899901203
80,80.0,30.0,25.727552544447818
81,90.0,10.0,82.49333753490004
82,100.0,10.0,113.79888987322889
83,100.0,10.0,94.70555417164027
84,100.0,30.0,66.40276390749634
85,90.0,10.0,85.3989356149696
86,100.0,40.0,25.607061376498343
87,90.0,20.0,165.1629314706547
88,60.0,10.0,100.86988153406578
89,100.0,20.0,62.22550697911572
90,60.0,10.0,64.58807168737371
91,100.0,40.0,47.02852006329601
92,80.0,20.0,79.37291528513066
93,90.0,20.0,84.1701246031379
94,100.0,20.0,107.91519119392945
95,70.0,20.0,187.21888547292934
96,80.0,20.0,84.25567170049598
97,100.0,40.0,78.65552257324272
98,100.0,40.0,64.10737253783257
99,70.0,20.0,72.24678777989685
100,90.0,40.0,32.4796164068377
101,90.0,20.0,109.88970069231061
102,90.0,20.0,102.52890813149462
103,100.0,20.0,191.92344860642646
104,90.0,20.0,169.80683669853565
105,70.0,20.0,111.81583396242205
106,90.0,40.0,89.50286671535319
107,100.0,20.0,170.79678096481112
108,70.0,10.0,98.98698593486574
109,50.0,10.0,91.13611139075861
110,80.0,20.0,172.349670065029
111,80.0,20.0,146.3659979763588
112,80.0,20.0,82.1942391778759
113,70.0,20.0,223.11791338334478
114,90.0,20.0,188.21604828786764
115,100.0,20.0,215.1756650472534
116,50.0,20.0,44.301158085453196
117,60.0,10.0,45.00946967797228
118,80.0,20.0,179.91269391669678
119,80.0,20.0,165.43264503267903
120,80.0,30.0,177.78772081602574
121,40.0,20.0,99.52769726265569
122,60.0,20.0,144.84064615215576
123,80.0,40.0,147.34582714589087
124,80.0,20.0,153.2915416688586
125,100.0,20.0,180.16691695511952
126,100.0,40.0,110.80967295251439
127,80.0,40.0,157.2979023303452
128,100.0,30.0,97.61950384264449
129,90.0,40.0,56.35783426751854
130,90.0,20.0,107.74886790139223
131,80.0,10.0,90.19327118400797
132,100.0,30.0,106.29040262811785
133,80.0,30.0,77.26984202954006
134,50.0,20.0,21.80094015666868
135,80.0,40.0,16.373550703523385
136,80.0,20.0,144.5655647895236
137,70.0,10.0,178.9736906202247
138,80.0,20.0,98.40492747121006
139,80.0,20.0,124.23862777534764
140,80.0,10.0,169.5470138285943
141,70.0,20.0,203.79929792856527
142,70.0,20.0,164.11325905638074
143,100.0,20.0,246.4332516745822
144,80.0,20.0,175.41664198295234
145,80.0,20.0,54.18254285994311
146,70.0,20.0,70.2976809812498
147,80.0,20.0,188.5418931500376
148,90.0,20.0,295.6878686095784
149,70.0,20.0,186.07512777970655
150,40.0,10.0,15.389982447021039
151,70.0,10.0,126.9299384649471
152,50.0,10.0,37.60555298686923
153,80.0,20.0,125.86739274944705
154,70.0,40.0,16.045090122984064
155,70.0,20.0,95.40954080219991
156,70.0,40.0,15.536605148958358
157,70.0,40.0,17.849179464409143
158,60.0,20.0,71.60577205763501
159,50.0,20.0,23.129575235408403
160,80.0,20.0,172.86536169859602
