Configuration,Optimal (0%),Error ≤10%,Error ≤20%,Error ≤30%,Error ≤40%,Error ≤50%
din hard imit 1,1.40%,1.40%,1.40%,1.40%,2.80%,4.00%
din hard imit 2,3.00%,3.00%,3.60%,3.60%,4.20%,4.20%
