Configuration,Optimal (0%),Error ≤10%,Error ≤20%,Error ≤30%,Error ≤40%,Error ≤50%
"dest din, step dijk30 1",19.00%,22.40%,27.20%,31.00%,38.60%,38.80%
"dest din, step dijk30 2",14.20%,20.20%,31.80%,48.40%,48.60%,49.40%
