Configuration,Optimal (0%),Error ≤10%,Error ≤20%,Error ≤30%,Error ≤40%,Error ≤50%
"E cur+imit 3900, n_step7 7k it 1",46.20%,64.80%,82.40%,87.80%,87.80%,88.00%
"E cur+imit 3900, n_step7 7k it 2",65.60%,88.60%,97.00%,97.20%,97.20%,97.60%
