Configuration,Optimal (0%),Error ≤10%,Error ≤20%,Error ≤30%,Error ≤40%,Error ≤50%
din soft imit 1,27.80%,35.20%,45.20%,50.40%,59.00%,64.40%
din soft imit 2,0.80%,6.60%,10.00%,11.40%,11.40%,13.40%
