Configuration,Optimal (0%),Error ≤10%,Error ≤20%,Error ≤30%,Error ≤40%,Error ≤50%
"dest 1, step1 1",14.00%,25.60%,44.20%,50.20%,51.40%,52.60%
"dest 1, step1 2",18.80%,36.60%,50.60%,56.80%,58.20%,60.20%
