Configuration,Optimal (0%),Error ≤10%,Error ≤20%,Error ≤30%,Error ≤40%,Error ≤50%
E cur 1,57.80%,81.80%,92.00%,94.00%,95.20%,95.80%
E cur 2,57.00%,80.00%,83.40%,86.20%,93.80%,96.00%
