iteration,pct_concluded,pct_optimal,pct_err10,pct_err20,pct_err30,pct_err40,pct_err50,mean_diff_iter,mean_reward_iter,min_reward_iter,max_reward_iter,ep1_diff,ep2_diff,ep3_diff,ep4_diff,ep5_diff,ep6_diff,ep7_diff,ep8_diff,ep9_diff,ep10_diff
39,70.0,20.0,30.0,30.0,30.0,40.0,40.0,148.88,0.3069,-1.366,1.0995,277.88,-,0.31,38.09,0.0,-,555.27,-,0.0,170.58
40,80.0,30.0,40.0,50.0,50.0,50.0,50.0,59.82,0.5627,-1.3421,1.1799,-,-,0.26,67.39,0.0,69.21,0.0,16.3,0.0,325.39
41,80.0,20.0,30.0,30.0,30.0,40.0,40.0,137.14,0.536,-1.3542,1.1771,179.72,100.05,0.31,67.39,0.0,-,713.41,36.25,0.0,-
42,70.0,20.0,40.0,40.0,40.0,40.0,40.0,47.64,0.3362,-1.3582,1.1796,-,3.18,0.26,-,0.0,69.21,-,85.42,0.0,175.42
43,50.0,0.0,30.0,40.0,40.0,40.0,40.0,19.36,-0.1149,-1.3827,1.1796,-,3.18,4.6,66.95,-,7.4,14.67,-,-,-
44,50.0,20.0,40.0,40.0,40.0,40.0,50.0,11.6,-0.8605,-5.0599,1.1565,-,-,4.6,-,-,7.4,0.0,46.01,-,0.0
45,80.0,30.0,50.0,50.0,60.0,60.0,80.0,15.37,-0.1302,-5.0276,1.1815,-,0.17,4.6,48.38,0.0,23.83,-,46.01,0.0,0.0
46,80.0,30.0,40.0,40.0,40.0,40.0,70.0,36.05,0.5986,-1.3523,1.1565,-,-,47.17,138.67,0.0,7.4,0.0,46.01,0.0,49.16
47,40.0,0.0,0.0,0.0,0.0,0.0,20.0,195.98,-0.4115,-1.388,1.1565,262.22,-,47.17,-,-,-,428.52,46.01,-,-
48,30.0,0.0,0.0,10.0,10.0,10.0,10.0,119.44,-0.9782,-4.9,1.1709,-,14.8,-,-,171.83,-,-,-,171.7,-
49,50.0,0.0,10.0,10.0,10.0,10.0,20.0,111.45,-0.1603,-1.4165,1.2,-,-,-,-,171.83,159.97,-,4.59,171.7,49.16
50,60.0,0.0,20.0,20.0,30.0,30.0,30.0,78.53,-0.2606,-4.8821,1.1661,-,3.51,0.31,-,159.2,24.67,-,-,158.87,124.62
51,50.0,0.0,0.0,0.0,10.0,10.0,20.0,90.79,-0.1154,-1.3251,1.0971,-,-,47.17,-,159.2,24.67,-,-,158.87,64.03
52,80.0,0.0,0.0,0.0,0.0,0.0,0.0,180.55,0.1543,-4.9,1.0712,368.84,113.19,93.17,-,159.2,-,224.34,142.51,158.87,184.25
53,50.0,0.0,0.0,0.0,20.0,20.0,20.0,118.89,-0.1424,-1.4124,1.105,-,-,-,28.21,159.2,23.83,224.34,-,158.87,-
54,80.0,10.0,20.0,20.0,20.0,20.0,20.0,142.4,0.5095,-1.284,1.0911,178.93,-,0.26,146.12,169.2,353.0,120.1,-,171.56,0.0
55,70.0,20.0,20.0,30.0,30.0,30.0,30.0,130.9,-0.7783,-5.0159,1.1799,461.81,-,-,0.0,159.2,-,120.1,16.3,158.87,0.0
56,80.0,40.0,40.0,60.0,60.0,60.0,60.0,127.98,0.1633,-5.1595,1.1799,905.11,87.78,-,0.0,0.0,-,14.67,16.3,0.0,0.0
57,80.0,20.0,30.0,30.0,30.0,40.0,40.0,67.9,0.2122,-4.9333,1.1796,262.22,3.18,-,32.62,0.0,-,127.85,53.3,0.0,64.03
58,90.0,0.0,20.0,40.0,40.0,50.0,50.0,69.33,0.7938,-1.485,1.1796,-,3.18,0.26,33.7,83.69,12.83,14.67,131.35,83.75,260.53
59,90.0,20.0,40.0,50.0,50.0,50.0,60.0,62.96,0.8138,-1.246,1.1333,364.0,-,0.31,67.17,0.0,7.4,14.67,49.69,0.0,63.4
60,90.0,0.0,10.0,10.0,20.0,20.0,20.0,214.46,0.3554,-4.9667,1.1172,507.01,202.81,0.31,28.42,250.56,-,545.74,78.27,253.6,63.4
61,70.0,10.0,30.0,40.0,40.0,40.0,40.0,64.62,0.3293,-1.485,1.1333,-,-,0.31,-,96.4,7.4,14.67,236.66,96.9,0.0
62,70.0,20.0,40.0,40.0,40.0,40.0,50.0,35.9,0.3466,-1.4719,1.1678,-,-,0.26,0.0,96.43,7.4,-,50.06,97.18,0.0
63,40.0,0.0,0.0,10.0,10.0,10.0,10.0,211.41,-0.409,-1.485,1.0317,-,-,159.36,-,334.26,-,14.67,-,337.35,-
64,50.0,10.0,10.0,10.0,10.0,10.0,10.0,342.87,-0.5289,-4.9972,1.0937,-,-,0.0,152.59,-,-,804.56,-,660.66,96.53
65,70.0,0.0,10.0,10.0,10.0,10.0,10.0,76.21,0.3133,-1.4258,1.0995,-,113.87,0.31,-,83.13,61.51,-,70.24,83.18,121.21
66,60.0,0.0,0.0,0.0,0.0,0.0,0.0,93.11,-0.6685,-5.032,1.022,83.69,113.87,102.78,-,71.06,-,-,116.33,70.92,-
67,60.0,10.0,10.0,10.0,10.0,10.0,10.0,149.46,-0.662,-4.9321,1.1178,183.81,-,-,0.0,159.2,-,224.34,170.54,158.87,-
68,50.0,0.0,0.0,0.0,0.0,0.0,10.0,175.08,-0.1693,-1.4161,1.0667,71.06,-,47.17,56.82,349.79,-,-,-,350.55,-
69,100.0,0.0,10.0,20.0,30.0,30.0,30.0,112.61,1.0179,0.8047,1.1654,183.81,26.0,0.31,295.11,159.2,111.14,120.1,14.42,158.87,57.17
70,70.0,10.0,20.0,20.0,20.0,20.0,20.0,188.23,0.3168,-1.2043,1.0995,83.69,-,0.31,-,498.42,174.99,0.0,-,503.02,57.17
71,60.0,0.0,0.0,0.0,10.0,10.0,10.0,79.66,0.1069,-1.339,1.1153,83.69,-,-,23.42,96.4,-,120.1,-,97.18,57.17
72,80.0,0.0,0.0,0.0,10.0,10.0,10.0,150.59,0.5555,-1.1904,1.1,183.81,-,105.3,28.21,195.46,213.95,224.34,-,196.49,57.17
73,90.0,0.0,10.0,10.0,20.0,20.0,20.0,155.56,0.7684,-1.4457,1.1028,650.9,75.3,4.6,28.21,195.46,109.76,-,82.18,196.49,57.17
74,70.0,10.0,20.0,20.0,20.0,20.0,20.0,177.05,0.2868,-1.4452,1.1284,-,56.86,4.6,-,469.79,154.93,-,82.18,470.98,0.0
75,60.0,0.0,10.0,10.0,10.0,10.0,10.0,94.58,0.083,-1.4452,1.1028,-,-,0.31,-,159.2,109.76,-,82.18,158.87,57.17
76,80.0,10.0,20.0,30.0,30.0,30.0,30.0,89.24,0.5864,-1.2001,1.1178,194.93,-,4.6,0.0,159.2,12.83,120.1,-,158.87,63.4
77,80.0,40.0,50.0,50.0,50.0,50.0,50.0,72.34,0.5328,-1.4452,1.087,-,163.59,4.6,-,0.0,202.65,0.0,207.92,0.0,0.0
78,60.0,40.0,40.0,40.0,40.0,40.0,40.0,26.08,-0.2516,-4.8507,1.0635,71.06,-,85.41,-,0.0,-,0.0,-,0.0,0.0
79,60.0,30.0,40.0,40.0,40.0,40.0,40.0,22.14,0.1316,-1.4025,1.0937,71.06,-,0.26,-,0.0,61.51,0.0,-,0.0,-
80,60.0,20.0,30.0,30.0,30.0,30.0,40.0,42.72,0.1153,-1.4025,1.1405,-,45.97,4.6,-,0.0,137.71,-,68.05,0.0,-
81,80.0,20.0,30.0,40.0,40.0,40.0,40.0,69.43,0.5549,-1.3739,1.1495,-,59.07,0.26,-,0.0,67.51,14.67,56.53,0.0,357.38
82,90.0,40.0,40.0,40.0,40.0,40.0,40.0,55.88,0.7971,-1.1855,1.1647,0.0,-,108.87,159.36,0.0,61.51,0.0,52.01,0.0,121.21
83,80.0,20.0,40.0,50.0,60.0,60.0,60.0,55.15,0.5816,-1.3219,1.1877,-,15.05,259.71,28.21,0.0,7.4,-,9.66,0.0,121.21
84,100.0,20.0,20.0,20.0,30.0,30.0,30.0,87.95,1.0411,0.9682,1.1856,230.92,23.34,102.78,100.57,0.0,61.51,185.56,53.62,0.0,121.21
85,100.0,20.0,30.0,30.0,40.0,40.0,40.0,81.41,1.0282,0.8495,1.1829,230.92,127.44,51.36,62.02,0.0,7.4,185.56,28.19,0.0,121.21
86,80.0,20.0,30.0,40.0,40.0,40.0,40.0,64.74,0.5677,-1.2917,1.1333,-,104.28,108.87,-,0.0,7.4,14.67,219.32,0.0,63.4
87,70.0,0.0,10.0,40.0,40.0,40.0,50.0,116.69,0.2966,-1.4765,1.1799,546.58,18.24,4.6,-,-,169.21,14.67,16.3,-,47.22
88,80.0,20.0,40.0,50.0,50.0,50.0,50.0,30.1,0.5775,-1.4062,1.1796,-,3.18,0.31,85.58,0.0,67.51,-,20.82,0.0,63.4
89,90.0,20.0,30.0,30.0,40.0,40.0,40.0,186.07,0.7585,-1.2593,1.1372,379.93,28.73,251.41,113.11,0.0,7.4,772.84,-,0.0,121.21
90,80.0,20.0,40.0,40.0,40.0,40.0,40.0,198.92,0.5425,-1.231,1.1877,379.93,-,4.6,-,0.0,367.17,772.84,9.66,0.0,57.17
91,70.0,30.0,30.0,40.0,40.0,40.0,40.0,196.54,0.3049,-1.3154,1.1178,962.15,-,-,0.0,0.0,153.88,14.67,-,0.0,245.09
