Configuration,Optimal (0%),Error ≤10%,Error ≤20%,Error ≤30%,Error ≤40%,Error ≤50%
E cur+imit 1,67.00%,70.00%,86.80%,89.40%,91.80%,92.60%
E cur+imit 2,51.20%,65.80%,90.40%,94.60%,95.60%,96.60%
