Configuration,Optimal (0%),Error ≤10%,Error ≤20%,Error ≤30%,Error ≤40%,Error ≤50%
fix soft imit 1,6.40%,7.20%,14.00%,14.20%,15.20%,20.40%
fix soft imit 2,18.60%,18.60%,20.40%,26.20%,28.40%,30.60%
