Configuration,Optimal (0%),Error ≤10%,Error ≤20%,Error ≤30%,Error ≤40%,Error ≤50%
E cur+imit 450k 1,57.40%,77.40%,96.00%,97.00%,97.40%,97.60%
E cur+imit 450k 2,66.60%,83.60%,90.40%,96.40%,97.80%,98.20%
