Configuration,Optimal (0%),Error ≤10%,Error ≤20%,Error ≤30%,Error ≤40%,Error ≤50%
"dest 1, step0 1",18.20%,18.20%,29.00%,34.60%,43.80%,61.20%
"dest 1, step0 2",34.00%,34.00%,38.00%,38.00%,39.60%,45.80%
"dest 1, step0 3",11.00%,14.00%,18.20%,20.00%,21.60%,27.40%
